col,level,n,frauds,rate,lift,ci_lo,ci_hi,p,q_bh
ConnectionOrg,comcast cable communications llc,4430,127,0.028668171557562076,1.0037260004932762,0.02414769620289246,0.03400539614032522,0.9640077632107797,1.0
ConnectionOrg,comcast cable communications inc.,6691,190,0.02839635331041698,0.9942091381597217,0.024678886102752314,0.03265504693608164,0.970726188956056,1.0
ConnectionOrg,comcast ip services l.l.c.,7499,213,0.028403787171622882,0.9944694114653087,0.024878489704313264,0.032412017401687754,0.9723442616911415,1.0
Region,great lakes,29942,854,0.028521808830405452,0.9986015692244303,0.026695968604839655,0.030468616143381286,0.9861590612564125,1.0
State,wisconsin,899,25,0.027808676307007785,0.9736334733661227,0.018905820488296657,0.040729889696081205,1.0,1.0
State,pennsylvania,847,24,0.02833530106257379,0.9920715854237292,0.019113875958649176,0.04181591402811217,1.0,1.0
State,district of columbia,624,17,0.027243589743589744,0.9538487418881061,0.017077832833880445,0.043194694504225216,1.0,1.0
webSessOS,Windows 10,36042,1029,0.02855002497086732,0.9995894687756202,0.02688027433854794,0.030320265542867948,1.0,1.0
ConnectionOrg,level 3 communications inc.,556,15,0.02697841726618705,0.944564560312386,0.01641609691072799,0.04403242995830068,1.0,1.0
Country,us,132862,3794,0.028555945266517137,0.9997967493363074,0.027673888079243127,0.029465264531972485,1.0,1.0
